id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1528,31,blue-collar,single,secondary,no,16,no,no,cellular,7,jul,387,1,-1,0,unknown,no
183,40,admin.,divorced,secondary,no,6,no,no,unknown,11,jun,140,1,-1,0,unknown,no
3029,39,blue-collar,married,primary,no,2303,yes,no,unknown,17,jun,775,3,-1,0,unknown,yes
4340,47,blue-collar,married,secondary,no,2548,yes,no,cellular,11,may,577,1,368,1,other,no
2228,47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732,2,-1,0,unknown,no
3900,30,admin.,single,secondary,no,3809,yes,no,unknown,3,jun,159,4,-1,0,unknown,no
3493,36,management,single,tertiary,no,-679,yes,yes,cellular,7,may,172,1,93,1,failure,no
542,27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no
3114,28,services,single,secondary,no,94,yes,no,cellular,16,apr,300,1,-1,0,unknown,no
3936,34,management,married,tertiary,no,3050,yes,no,cellular,13,may,469,1,-1,0,unknown,yes
578,49,blue-collar,married,secondary,no,171,no,no,cellular,4,feb,19,3,175,2,other,no
1000,34,technician,married,secondary,no,209,yes,yes,cellular,8,apr,375,2,-1,0,unknown,no
209,56,retired,married,secondary,no,1333,no,no,cellular,28,aug,17,14,-1,0,unknown,no
2701,45,technician,divorced,secondary,no,809,yes,no,cellular,13,may,155,2,363,4,failure,no
2617,41,services,married,secondary,no,171,no,no,cellular,21,jul,71,9,-1,0,unknown,no
1291,55,technician,divorced,secondary,no,61,yes,yes,cellular,25,aug,113,3,-1,0,unknown,no
2651,44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,unknown,no
2896,80,retired,married,primary,no,1548,no,no,cellular,6,aug,331,2,-1,0,unknown,no
1219,47,blue-collar,married,primary,no,320,no,no,telephone,30,jul,203,2,-1,0,unknown,no
2229,42,services,divorced,secondary,no,372,yes,yes,unknown,6,may,121,2,-1,0,unknown,no
2489,55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,unknown,no
2113,31,admin.,married,secondary,no,2304,yes,no,cellular,20,nov,257,2,-1,0,unknown,no
4348,60,retired,married,tertiary,no,225,no,no,cellular,19,aug,54,2,-1,0,unknown,no
744,33,management,married,tertiary,no,4020,yes,yes,cellular,15,apr,251,1,-1,0,unknown,no
943,40,technician,married,secondary,no,109,no,no,unknown,20,jun,402,22,-1,0,unknown,no
1931,45,blue-collar,married,secondary,no,4365,no,yes,cellular,9,feb,45,2,-1,0,unknown,no
2869,49,services,married,secondary,no,280,yes,no,telephone,14,jul,162,3,-1,0,unknown,no
1079,50,admin.,divorced,secondary,no,202,no,yes,cellular,17,nov,148,1,-1,0,unknown,no
3836,39,technician,married,secondary,no,3663,no,no,cellular,11,aug,230,3,-1,0,unknown,no
2564,50,technician,divorced,secondary,no,-701,yes,yes,cellular,24,jul,148,1,-1,0,unknown,no
1195,59,self-employed,married,tertiary,no,185,no,no,cellular,22,jun,177,5,138,1,failure,no
3055,47,services,married,secondary,no,2,no,yes,cellular,21,jul,71,15,-1,0,unknown,no
420,42,admin.,divorced,secondary,no,1076,yes,no,unknown,14,may,213,1,-1,0,unknown,no
4307,27,admin.,married,secondary,no,186,yes,no,unknown,27,may,136,2,-1,0,unknown,no
730,38,self-employed,single,secondary,no,1146,yes,no,unknown,21,may,91,2,-1,0,unknown,no
3119,28,technician,married,secondary,no,232,yes,yes,cellular,29,jan,72,1,261,1,failure,no
1373,56,blue-collar,married,primary,no,379,no,no,cellular,13,aug,58,5,-1,0,unknown,no
3015,35,management,married,tertiary,no,0,no,no,cellular,11,jul,89,1,-1,0,unknown,no
3863,33,technician,married,secondary,no,3470,no,no,cellular,11,aug,285,2,-1,0,unknown,no
2581,30,management,single,tertiary,no,775,yes,no,unknown,16,jun,124,2,-1,0,unknown,no
1383,34,management,married,tertiary,no,4170,yes,no,unknown,21,may,935,1,-1,0,unknown,no
2080,34,services,divorced,secondary,no,44,no,no,unknown,9,jun,118,1,-1,0,unknown,no
2758,57,admin.,married,tertiary,no,46,no,no,cellular,7,aug,238,2,-1,0,unknown,no
3958,34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161,3,-1,0,unknown,no
425,29,blue-collar,single,primary,no,950,yes,no,unknown,4,jun,135,3,-1,0,unknown,no
2040,37,blue-collar,married,secondary,no,1053,no,no,unknown,16,jun,405,3,-1,0,unknown,no
1763,57,blue-collar,married,secondary,no,2887,no,no,cellular,21,aug,819,10,-1,0,unknown,yes
2237,46,services,married,secondary,no,451,yes,yes,cellular,13,may,389,4,-1,0,unknown,no
890,40,blue-collar,married,primary,no,1206,no,yes,telephone,16,jul,201,5,-1,0,unknown,no
3409,48,blue-collar,single,primary,no,316,no,no,unknown,5,jun,560,2,-1,0,unknown,no
146,56,retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
3709,44,entrepreneur,married,secondary,no,6649,yes,no,cellular,19,nov,354,2,-1,0,unknown,no
677,52,blue-collar,married,secondary,no,60,no,yes,cellular,26,aug,196,2,-1,0,unknown,no
210,36,technician,single,secondary,no,9149,yes,no,cellular,13,aug,141,3,-1,0,unknown,no
3999,44,services,married,secondary,no,27,no,no,cellular,25,may,485,1,-1,0,unknown,no
1850,54,management,divorced,tertiary,no,1295,yes,no,cellular,21,jul,179,10,-1,0,unknown,no
1768,31,technician,single,secondary,no,1094,yes,no,unknown,12,jun,93,8,-1,0,unknown,no
1328,26,management,single,tertiary,no,205,no,no,unknown,26,may,111,1,-1,0,unknown,no
742,46,services,married,secondary,no,0,yes,no,cellular,22,jun,154,1,124,1,other,no
1473,53,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
3985,43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58,3,347,5,failure,no
4066,36,services,married,secondary,no,3064,yes,no,telephone,26,aug,240,3,107,4,failure,no
1758,30,blue-collar,married,primary,no,-336,no,no,cellular,10,jul,128,6,-1,0,unknown,no
376,40,management,married,primary,no,733,yes,no,unknown,6,jun,94,7,-1,0,unknown,no
1387,25,management,single,tertiary,no,553,yes,no,cellular,17,sep,113,4,479,1,failure,no
4457,37,blue-collar,single,primary,no,6969,yes,no,unknown,20,may,412,1,-1,0,unknown,no
538,40,technician,married,tertiary,no,0,no,no,cellular,19,aug,44,1,-1,0,unknown,no
2175,56,management,divorced,tertiary,no,442,no,no,unknown,28,may,77,3,-1,0,unknown,no
4442,39,blue-collar,married,primary,no,1506,yes,no,cellular,11,may,299,2,-1,0,unknown,no
3607,70,retired,married,secondary,no,1164,no,no,telephone,14,may,338,3,185,2,failure,no
3724,37,housemaid,divorced,secondary,no,1040,yes,no,cellular,13,may,199,1,173,2,failure,no
2906,34,management,single,tertiary,no,0,no,no,cellular,21,aug,191,2,-1,0,unknown,no
289,34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,3,1,6,success,yes
2168,40,services,married,secondary,no,1836,yes,no,cellular,12,may,750,2,-1,0,unknown,yes
3613,49,technician,married,secondary,no,2718,no,no,unknown,19,may,114,2,-1,0,unknown,no
2400,43,self-employed,married,secondary,no,104,no,no,unknown,17,jun,332,1,-1,0,unknown,no
706,33,technician,single,tertiary,no,123,no,no,cellular,19,aug,264,1,-1,0,unknown,no
705,35,self-employed,divorced,tertiary,no,1354,yes,no,unknown,23,may,736,2,-1,0,unknown,yes
189,56,retired,married,secondary,no,-1206,yes,no,cellular,15,jun,382,2,-1,0,unknown,yes
2944,45,management,married,tertiary,no,242,no,no,cellular,30,apr,587,1,-1,0,unknown,yes
758,40,blue-collar,married,primary,no,1136,yes,no,unknown,21,may,86,1,-1,0,unknown,no
3296,58,blue-collar,married,secondary,no,590,no,yes,unknown,5,jun,133,1,-1,0,unknown,no
3682,43,management,divorced,tertiary,no,497,no,no,cellular,13,may,66,1,363,22,failure,no
4027,45,technician,married,tertiary,no,265,no,no,cellular,28,aug,14,3,-1,0,unknown,no
4474,44,blue-collar,married,primary,no,-237,yes,no,telephone,10,jul,73,1,-1,0,unknown,no
556,55,blue-collar,married,primary,no,2275,no,no,cellular,25,aug,139,9,-1,0,unknown,no
586,32,self-employed,single,secondary,no,518,yes,no,cellular,18,may,34,7,-1,0,unknown,no
2504,35,blue-collar,married,secondary,no,280,yes,yes,cellular,31,jul,65,50,-1,0,unknown,no
650,33,housemaid,single,tertiary,no,23663,yes,no,cellular,16,apr,199,2,146,2,failure,no
2612,53,entrepreneur,married,tertiary,no,2289,yes,yes,cellular,17,nov,183,1,-1,0,unknown,no
3324,32,management,single,tertiary,no,537,no,no,unknown,29,may,187,3,-1,0,unknown,no
3267,49,management,married,secondary,no,321,no,no,unknown,9,jun,135,3,-1,0,unknown,no
4109,40,blue-collar,married,primary,no,177,yes,yes,telephone,21,jul,742,4,-1,0,unknown,no
2096,58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,no
3676,47,services,married,secondary,no,2322,no,no,cellular,22,aug,618,1,-1,0,unknown,no
743,55,retired,married,primary,no,3334,no,no,cellular,14,aug,632,4,-1,0,unknown,yes
4367,29,management,single,tertiary,no,4210,yes,no,cellular,18,may,119,1,-1,0,unknown,no
1084,26,services,divorced,secondary,no,74,yes,no,unknown,23,may,106,6,-1,0,unknown,no
1529,29,management,single,secondary,no,417,no,no,cellular,7,oct,90,1,-1,0,unknown,no
821,31,management,single,tertiary,no,112,yes,no,cellular,2,feb,159,2,271,1,failure,no
510,38,blue-collar,married,secondary,no,121,yes,yes,cellular,6,feb,168,1,212,2,failure,no
3132,53,self-employed,married,tertiary,no,451,yes,no,cellular,2,feb,125,1,249,2,failure,no
3925,48,technician,married,secondary,no,17,yes,yes,cellular,17,nov,81,1,-1,0,unknown,no
4470,31,technician,single,tertiary,no,1166,yes,no,unknown,3,jun,207,1,-1,0,unknown,no
3489,38,blue-collar,married,secondary,no,526,yes,yes,unknown,23,may,553,2,-1,0,unknown,no
1819,33,technician,divorced,secondary,yes,10,yes,yes,cellular,18,nov,167,5,-1,0,unknown,no
387,48,technician,married,secondary,no,302,yes,no,unknown,26,may,208,3,-1,0,unknown,no
2810,29,technician,single,secondary,no,103,no,no,unknown,19,may,314,1,-1,0,unknown,no
1775,38,management,married,tertiary,no,7124,no,no,unknown,16,jun,301,6,-1,0,unknown,no
1550,40,blue-collar,married,secondary,no,1012,yes,no,cellular,6,may,410,1,-1,0,unknown,no
3056,23,services,single,secondary,no,500,yes,no,unknown,4,jun,111,3,-1,0,unknown,no
1510,45,technician,married,secondary,no,1415,yes,no,cellular,17,nov,483,1,116,1,failure,no
3752,47,services,married,secondary,no,0,yes,no,telephone,9,jul,250,1,-1,0,unknown,no
3059,56,housemaid,married,primary,no,306,no,yes,cellular,8,jul,212,1,-1,0,unknown,no
4499,45,blue-collar,divorced,primary,no,942,no,no,cellular,21,nov,362,1,-1,0,unknown,no
1247,52,management,married,tertiary,no,-11,yes,no,cellular,11,may,94,4,-1,0,unknown,no
3214,41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,unknown,no
2042,43,blue-collar,married,secondary,no,625,yes,no,unknown,30,sep,175,1,-1,0,unknown,no
1489,27,unknown,single,tertiary,no,6421,no,no,telephone,28,jan,147,4,-1,0,unknown,no
4353,30,admin.,married,tertiary,no,400,yes,no,cellular,7,may,223,1,-1,0,unknown,no
3797,30,technician,single,tertiary,no,2325,no,no,cellular,5,apr,270,3,241,4,other,no
3593,42,blue-collar,single,primary,no,1628,yes,no,cellular,5,feb,119,1,195,8,success,no
2408,46,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,264,2,-1,0,unknown,no
592,41,services,married,secondary,no,108,yes,yes,unknown,13,may,83,7,-1,0,unknown,no
4321,58,blue-collar,married,secondary,no,-27,no,yes,telephone,31,jul,77,13,-1,0,unknown,no
2749,39,technician,married,secondary,no,994,no,no,cellular,5,feb,221,1,241,1,failure,no
999,20,student,single,secondary,no,291,no,no,telephone,11,may,172,5,371,5,failure,no
3054,30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,unknown,no
215,42,management,married,tertiary,no,372,yes,no,cellular,3,aug,654,2,-1,0,unknown,yes
429,40,management,married,tertiary,no,542,yes,no,cellular,20,nov,1816,1,-1,0,unknown,no
910,40,blue-collar,married,secondary,no,952,no,yes,unknown,12,jun,140,1,-1,0,unknown,no
3226,34,management,married,tertiary,no,1518,yes,no,cellular,20,nov,128,2,-1,0,unknown,no
1700,54,management,married,tertiary,no,2960,yes,no,cellular,20,nov,83,1,-1,0,unknown,no
2305,34,services,divorced,secondary,no,202,yes,no,unknown,15,may,318,1,-1,0,unknown,no
3956,44,self-employed,single,tertiary,no,2734,yes,no,cellular,12,may,897,4,-1,0,unknown,yes
3150,53,technician,married,secondary,no,9146,no,no,cellular,13,aug,136,4,-1,0,unknown,no
426,36,blue-collar,married,primary,no,973,yes,yes,unknown,23,may,293,1,-1,0,unknown,no
617,31,management,single,secondary,no,36,no,no,cellular,27,aug,105,2,-1,0,unknown,no
989,52,retired,divorced,primary,no,353,no,no,cellular,31,jul,395,4,-1,0,unknown,no
38,33,management,married,secondary,no,3935,yes,no,cellular,6,may,765,1,342,2,failure,yes
1137,42,blue-collar,married,secondary,no,3052,yes,no,unknown,27,may,32,1,-1,0,unknown,no
203,39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
2641,73,retired,married,secondary,no,19,no,no,cellular,5,nov,509,2,-1,0,unknown,no
1731,58,retired,married,secondary,no,235,no,no,cellular,27,aug,88,4,-1,0,unknown,no
3738,35,blue-collar,married,primary,no,422,yes,no,cellular,14,may,73,1,-1,0,unknown,no
2970,35,management,single,tertiary,no,252,yes,no,cellular,8,aug,89,2,-1,0,unknown,no
198,42,technician,married,tertiary,no,782,no,no,cellular,3,apr,285,1,-1,0,unknown,no
4388,83,retired,divorced,primary,no,1097,no,no,telephone,5,mar,181,1,-1,0,unknown,yes
4358,47,admin.,single,secondary,no,2540,no,no,cellular,18,nov,110,5,-1,0,unknown,no
104,34,management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
3945,42,entrepreneur,married,tertiary,no,157,yes,yes,unknown,7,may,650,1,-1,0,unknown,no
1745,57,blue-collar,married,primary,no,282,no,yes,cellular,7,jul,261,12,-1,0,unknown,no
4154,56,self-employed,married,secondary,no,800,no,yes,cellular,9,jul,170,1,-1,0,unknown,no
640,57,admin.,divorced,unknown,no,887,no,no,unknown,20,jun,43,8,-1,0,unknown,no
1142,60,management,divorced,tertiary,no,366,no,no,cellular,3,jun,593,1,-1,0,unknown,yes
1794,56,admin.,divorced,secondary,yes,-435,yes,yes,unknown,9,may,185,2,-1,0,unknown,no
1572,37,blue-collar,married,secondary,no,2023,yes,no,cellular,10,jul,214,1,-1,0,unknown,no
4326,37,management,single,tertiary,no,9,no,no,cellular,26,aug,484,2,-1,0,unknown,no
4504,42,blue-collar,single,secondary,no,1080,yes,yes,cellular,13,may,951,3,370,4,failure,yes
4132,37,technician,married,secondary,no,1063,yes,no,cellular,31,jul,413,2,-1,0,unknown,no
2536,56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,failure,no
4030,38,blue-collar,divorced,secondary,no,0,yes,no,cellular,11,may,580,1,173,1,failure,no
1183,32,self-employed,married,secondary,no,-33,yes,no,unknown,28,may,234,3,-1,0,unknown,no
3497,42,admin.,married,secondary,no,4209,yes,no,unknown,5,jun,57,6,-1,0,unknown,no
2385,47,services,married,secondary,no,3333,yes,yes,cellular,29,jul,114,2,-1,0,unknown,no
1636,53,retired,married,secondary,no,4968,no,no,cellular,6,may,109,1,87,2,failure,no
200,34,technician,single,tertiary,no,992,yes,no,cellular,4,may,301,1,88,2,success,no
330,37,admin.,married,secondary,no,121,no,no,cellular,22,jul,22,6,-1,0,unknown,no
3658,26,services,single,secondary,no,1347,no,no,telephone,18,jun,280,6,92,5,other,yes
1993,40,management,married,unknown,no,419,yes,no,cellular,10,jul,347,1,-1,0,unknown,no
3869,36,management,divorced,tertiary,no,649,no,no,cellular,16,jul,237,2,91,1,failure,no
3584,46,blue-collar,married,secondary,no,-1400,yes,no,telephone,6,may,309,3,355,4,failure,no
1702,51,retired,divorced,secondary,no,343,yes,no,unknown,30,may,78,2,-1,0,unknown,no
1115,41,admin.,married,secondary,no,5110,yes,no,cellular,13,apr,231,1,-1,0,unknown,no
459,43,management,divorced,tertiary,no,36,no,no,cellular,26,may,118,1,102,2,failure,no
4018,26,technician,single,secondary,no,261,yes,no,unknown,27,may,371,2,-1,0,unknown,no
3783,61,retired,married,secondary,no,76,yes,no,cellular,15,jul,195,7,-1,0,unknown,no
4231,39,services,divorced,secondary,no,687,yes,no,cellular,9,jul,869,1,-1,0,unknown,yes
1250,33,management,divorced,secondary,no,1897,yes,yes,unknown,2,jun,197,1,-1,0,unknown,no
1956,77,retired,married,primary,no,680,no,no,telephone,24,feb,513,2,89,7,failure,no
409,54,admin.,married,secondary,no,0,no,no,cellular,28,jan,161,1,98,2,failure,yes
2618,54,services,married,secondary,no,812,no,no,cellular,31,jul,113,6,-1,0,unknown,no
4095,35,technician,married,secondary,no,0,no,no,cellular,14,jul,125,2,-1,0,unknown,no
4157,55,retired,married,secondary,no,159,no,no,cellular,28,aug,159,1,-1,0,unknown,no
4041,33,blue-collar,divorced,secondary,no,474,no,no,cellular,22,jul,400,2,-1,0,unknown,no
3162,48,admin.,married,secondary,no,191,yes,no,cellular,5,feb,238,3,-1,0,unknown,no
1042,30,admin.,single,secondary,no,81,yes,no,cellular,6,aug,121,6,112,3,other,no
4085,35,management,married,tertiary,no,0,yes,no,cellular,21,jul,295,3,-1,0,unknown,no
1648,58,unemployed,married,tertiary,no,744,no,no,telephone,28,jan,38,1,-1,0,unknown,no
96,41,admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
4063,32,technician,married,secondary,no,485,no,no,cellular,26,aug,98,14,-1,0,unknown,no
2769,45,admin.,married,secondary,no,0,no,no,cellular,19,aug,145,10,-1,0,unknown,no
2644,36,management,married,tertiary,no,9,no,no,cellular,11,aug,386,4,-1,0,unknown,yes
3501,30,management,married,tertiary,no,151,no,no,cellular,19,aug,82,4,-1,0,unknown,no
3089,53,blue-collar,married,secondary,no,427,no,yes,cellular,14,aug,360,4,-1,0,unknown,no
2125,52,technician,married,secondary,no,3554,no,yes,cellular,8,jul,89,1,-1,0,unknown,no
3470,34,technician,single,secondary,no,0,yes,yes,unknown,16,may,214,1,-1,0,unknown,no
4449,31,self-employed,single,secondary,no,360,yes,no,unknown,26,may,592,4,-1,0,unknown,no
3061,55,retired,married,secondary,no,168,no,no,cellular,19,aug,79,2,-1,0,unknown,no
1767,51,management,single,tertiary,no,297,yes,no,cellular,15,may,415,4,375,1,failure,yes
3345,31,technician,divorced,secondary,no,10787,yes,no,unknown,4,jun,135,2,-1,0,unknown,no
773,33,unemployed,married,secondary,no,2,yes,no,cellular,16,jul,132,1,-1,0,unknown,no
3298,27,technician,single,tertiary,no,808,yes,no,cellular,15,may,578,1,364,1,other,no
1235,32,services,married,secondary,no,-632,yes,yes,cellular,20,apr,18,5,-1,0,unknown,no
633,83,retired,married,secondary,no,0,no,no,cellular,18,mar,140,10,-1,0,unknown,no
4,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
935,46,blue-collar,married,primary,no,2904,no,no,cellular,20,apr,277,2,-1,0,unknown,no
3573,43,blue-collar,divorced,primary,no,328,no,yes,cellular,8,jul,192,1,-1,0,unknown,no
3892,35,admin.,divorced,tertiary,no,1555,yes,no,unknown,9,may,26,2,-1,0,unknown,no
3389,46,management,divorced,secondary,no,361,yes,no,unknown,19,may,86,7,-1,0,unknown,no
2533,57,management,married,tertiary,no,2416,no,no,cellular,11,aug,74,2,-1,0,unknown,no
423,37,management,single,tertiary,no,876,yes,no,cellular,15,apr,140,4,327,2,failure,no
4271,47,blue-collar,divorced,primary,no,1279,yes,no,cellular,6,feb,479,2,-1,0,unknown,no
1176,50,management,married,tertiary,no,-470,yes,no,cellular,8,may,506,2,170,3,failure,no
915,33,management,married,secondary,no,4040,yes,no,cellular,20,apr,132,2,-1,0,unknown,no
2737,34,blue-collar,married,secondary,no,8309,yes,yes,cellular,19,nov,50,1,-1,0,unknown,no
4071,28,admin.,married,secondary,no,12,yes,no,cellular,30,jan,73,3,256,3,other,no
3965,58,retired,married,primary,no,5092,no,no,unknown,11,jun,199,6,-1,0,unknown,no
